price,accommodates,bedrooms,bathrooms,cleaning_fee,availability_90_days,district,host_respons_time,host_response_rate,host_superhost,host_listings_count,review_scores_accuracy,review_scores_cleanliness,review_scores_checkin,review_scores_communication,review_scores_location,review_scores_value,kitchen,tv,coffe_machine,dishwasher,terrace,bathtub
80,4,1,1,0,6,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,9,10,10,9,10,yes,no,yes,yes,no,no
126,5,2,2.5,70,15,Pankow,within a few hours,100,no,1,10,9,10,10,9,9,yes,no,yes,yes,no,no
180,6,2,1.5,65,58,Mitte,within an hour,97,no,14,10,9,10,10,9,9,yes,yes,yes,no,no,no
52,4,1,1,75,57,Pankow,within an hour,100,no,1,10,9,10,10,10,9,yes,yes,no,no,no,no
25,1,1,1,10,11,Charlottenburg-Wilm.,within a day,88,no,1,10,10,10,10,10,10,no,no,no,no,no,no
25,2,1,1,10,0,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,10,yes,no,no,no,no,no
225,7,3,2,109,48,Friedrichshain-Kreuzberg,within an hour,100,yes,21,10,10,10,10,9,10,yes,yes,yes,yes,no,no
65,2,1,1.5,40,64,Mitte,within an hour,100,no,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
34,2,1,1,20,36,Mitte,within a day,90,no,1,10,9,10,10,10,9,yes,yes,yes,no,no,no
110,3,0,1,50,26,Mitte,within an hour,100,no,1,9,9,9,9,9,9,yes,no,no,no,no,no
55,2,0,1,15,0,Friedrichshain-Kreuzberg,within a few hours,75,yes,1,10,9,10,10,10,10,yes,no,yes,no,yes,no
90,2,1,1,40,0,Friedrichshain-Kreuzberg,within a few hours,100,no,0,10,10,10,10,10,10,yes,yes,no,no,no,no
40,5,2,1,45,0,Neukölln,within a few hours,100,no,1,10,10,10,10,10,9,yes,no,no,no,yes,no
29,4,1,1,0,12,Mitte,within an hour,100,no,1,8,8,9,9,9,8,yes,no,no,no,no,no
38,2,1,1,8,29,Lichtenberg,within an hour,100,yes,2,10,10,10,10,10,10,yes,no,yes,yes,yes,yes
50,4,1,1,15,73,Steglitz - Zehlendorf,within a few hours,100,yes,1,10,10,10,9,9,10,yes,yes,yes,no,yes,no
39,2,1,1,15,42,Mitte,within an hour,100,yes,2,10,10,10,10,10,9,no,no,no,no,no,yes
69,2,1,1,10,41,Pankow,within an hour,100,no,1,10,10,10,10,10,9,yes,no,yes,yes,no,yes
22,2,1,1,0,20,Friedrichshain-Kreuzberg,within an hour,100,yes,1,10,10,10,10,10,9,no,no,no,no,no,no
29,2,1,1,12,0,Neukölln,within an hour,100,no,1,9,9,9,10,10,9,yes,no,no,no,no,no
70,2,1,1,50,5,Pankow,within an hour,100,no,1,10,10,10,10,10,10,yes,yes,yes,no,no,no
70,2,1,1,40,37,Mitte,within a day,83,no,1,10,10,10,9,10,10,yes,yes,no,no,no,no
90,6,1,1,95,7,Friedrichshain-Kreuzberg,within an hour,100,yes,5,10,10,10,10,10,10,yes,yes,yes,yes,no,no
75,4,1,1,20,0,Friedrichshain-Kreuzberg,within a few hours,100,no,1,10,10,10,10,10,10,yes,yes,yes,yes,no,no
145,4,2,1,30,17,Friedrichshain-Kreuzberg,a few days or more,0,no,2,9,10,9,9,10,10,yes,yes,no,yes,yes,yes
75,3,1,1,20,38,Mitte,within a few hours,100,yes,1,10,10,10,9,10,10,yes,yes,yes,no,no,no
80,2,1,1,30,14,Pankow,within an hour,100,no,1,9,8,10,9,9,8,yes,no,no,no,no,no
35,2,1,1,0,64,Charlottenburg-Wilm.,within an hour,71,yes,1,10,9,10,10,10,10,yes,no,no,no,no,no
34,2,1,1,11,0,Pankow,within a few hours,100,no,2,10,10,10,10,10,9,yes,no,yes,no,yes,no
110,3,2,1,50,0,Friedrichshain-Kreuzberg,within a few hours,100,yes,4,10,10,9,10,10,9,yes,yes,yes,yes,no,yes
39,2,1,1,0,14,Friedrichshain-Kreuzberg,within a few hours,100,no,1,10,10,10,10,10,10,yes,no,yes,yes,no,no
